Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
10:00:58,RIBT,SS,1.37,500,CPGO,,100467,Short,Q210428007257,
10:33:53,UXIN,SS,2.6102,1000,CPGO,,100467,Short,Q210428010415,
10:00:36,PLBY,SS,53.5903,100,CPGO,,100467,Short,Q210428007225,
11:28:30,UXIN,B,2.5197,1000,CPGO,,100467,Margin,Q210428014048,
11:28:30,UXIN,B,2.5197,1000,CPGO,,100467,Margin,Q210428014047,
12:07:15,MVIS,B,23.5497,200,CPGO,,100467,Margin,Q210428015638,
10:22:00,JG,B,4.1097,42,CPGO,,100467,Margin,Q210428009404,
10:22:00,JG,B,4.1097,452,CPGO,,100467,Margin,Q210428009404,
10:22:00,JG,B,4.1097,3,CPGO,,100467,Margin,Q210428009404,
10:22:00,JG,B,4.1097,3,CPGO,,100467,Margin,Q210428009404,
11:17:38,UXIN,SS,2.4001,1000,CPGO,,100467,Short,Q210428013490,
09:54:26,ADMA,B,2.55,2000,CPGO,,100467,Margin,Q210428006370,
09:59:03,ADMA,SS,2.58,1000,CPGO,,100467,Short,Q210428007067,
09:58:49,ADMA,SS,2.56,1000,CPGO,,100467,Short,Q210428007041,
11:38:14,MVIS,SS,24.4201,100,CPGO,,100467,Short,Q210428014378,
11:37:44,MVIS,SS,24.6202,100,CPGO,,100467,Short,Q210428014362,
09:58:10,PENN,SS,93.54,100,CPGO,,100467,Short,Q210428006964,
11:36:04,UXIN,S,2.52,2000,CPGO,,100467,Margin,Q210428014294,
10:43:47,RIBT,B,1.25,500,CPGO,,100467,Margin,Q210428011293,
09:42:26,PENN,SS,93.79,100,CPGO,,100467,Short,Q210428004129,
10:28:06,PLBY,B,52.6997,100,CPGO,,100467,Margin,Q210428009954,
10:05:09,JG,SS,4.3103,400,CPGO,,100467,Short,Q210428007716,
10:05:09,JG,SS,4.31,100,CPGO,,100467,Short,Q210428007716,
09:45:29,ADMA,SS,2.3703,1000,CPGO,,100467,Short,Q210428004800,
12:25:51,ADMA,B,2.23,1000,CPGO,,100467,Margin,Q210428016523,
10:38:06,ADMA,B,2.5197,2000,CPGO,,100467,Margin,Q210428010875,
10:59:30,ADMA,B,2.39,2000,CPGO,,100467,Margin,Q210428012428,
10:37:21,UXIN,B,2.7197,1000,CPGO,,100467,Margin,Q210428010824,
10:04:03,PENN,B,92.9,100,CPGO,,100467,Margin,Q210428007601,
09:44:54,RIBT,SS,1.3503,500,CPGO,,100467,Short,Q210428004619,
10:35:36,UXIN,SS,2.5802,1000,CPGO,,100467,Short,Q210428010607,
11:34:37,UXIN,B,2.4997,1000,CPGO,,100467,Margin,Q210428014263,
10:35:06,UXIN,B,2.6197,1000,CPGO,,100467,Margin,Q210428010550,
09:55:45,PENN,B,93.85,100,CPGO,,100467,Margin,Q210428006547,
09:50:57,RIBT,B,1.4197,100,CPGO,,100467,Margin,Q210428005846,
09:50:57,RIBT,B,1.42,200,CPGO,,100467,Margin,Q210428005846,
09:50:57,RIBT,B,1.42,200,CPGO,,100467,Margin,Q210428005846,
11:20:22,ADMA,SS,2.3303,500,CPGO,,100467,Short,Q210428013677,
11:20:21,ADMA,SS,2.33,500,CPGO,,100467,Short,Q210428013677,
10:41:36,ADMA,SS,2.47,1000,CPGO,,100467,Short,Q210428011143,
12:16:26,AHT,B,2.3397,500,CPGO,,100467,Margin,Q210428016013,
12:16:26,AHT,B,2.3397,100,CPGO,,100467,Margin,Q210428016013,
12:16:26,AHT,B,2.3397,200,CPGO,,100467,Margin,Q210428016013,
12:16:26,AHT,B,2.3397,100,CPGO,,100467,Margin,Q210428016013,
12:16:26,AHT,B,2.3397,100,CPGO,,100467,Margin,Q210428016013,
10:41:30,ADMA,SS,2.47,1000,CPGO,,100467,Short,Q210428011133,
11:22:59,AHT,SS,2.37,1000,CPGO,,100467,Short,Q210428013807,
09:34:50,ADMA,SS,2.3903,100,CPGO,,100467,Short,Q210428002526,
09:34:50,ADMA,SS,2.3903,200,CPGO,,100467,Short,Q210428002526,
09:34:50,ADMA,SS,2.3903,100,CPGO,,100467,Short,Q210428002526,
09:34:50,ADMA,SS,2.3903,100,CPGO,,100467,Short,Q210428002526,
09:34:50,ADMA,SS,2.39,500,CPGO,,100467,Short,Q210428002526,
