Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
10:09:38,MRNA,B,329.8494,2,CPGO,,100467,Margin,Q211001004519,
09:38:17,BMRA,B,6.22,2,CPGO,,100467,Margin,Q211001002083,
09:48:45,AVIR,S,41.91,2,CPGO,,100467,Margin,Q211001003000,
09:57:31,BMRA,S,5.96,2,CPGO,,100467,Margin,Q211001003646,
09:43:15,PROG,S,2.03,8,CPGO,,100467,Margin,Q211001002553,
09:43:10,PROG,B,2.05,4,CPGO,,100467,Margin,Q211001002547,
10:06:44,MRNA,SS,334.1203,2,CPGO,,100467,Short,Q211001004391,
09:56:56,PALT,S,12.9003,2,CPGO,,100467,Margin,Q211001003608,
09:42:27,PROG,B,2.06,2,CPGO,,100467,Margin,Q211001002488,
09:47:53,AVIR,B,42.06,2,CPGO,,100467,Margin,Q211001002928,
09:56:22,RES,S,4.98,2,CPGO,,100467,Margin,Q211001003580,
09:52:42,AVIR,SS,42.7525,2,CPGO,,100467,Short,Q211001003318,
09:55:47,PALT,B,13.2394,2,CPGO,,100467,Margin,Q211001003555,
09:35:54,PALT,B,12.24,2,CPGO,,100467,Margin,Q211001001854,
09:52:24,PROG,S,1.97,2,CPGO,,100467,Margin,Q211001003282,
09:41:23,BMRA,B,6.02,1,CPGO,,100467,Margin,Q211001002393,
09:41:23,BMRA,B,6.0197,1,CPGO,,100467,Margin,Q211001002393,
09:47:00,BMRA,S,6.13,2,CPGO,,100467,Margin,Q211001002840,
09:52:09,PROG,B,2.01,2,CPGO,,100467,Margin,Q211001003261,
09:41:06,PALT,S,11.85,2,CPGO,,100467,Margin,Q211001002376,
09:46:40,PROG,S,2.13,2,CPGO,,100467,Margin,Q211001002825,
09:55:07,BMRA,B,6.03,2,CPGO,,100467,Margin,Q211001003505,
09:46:30,PROG,B,2.0597,2,CPGO,,100467,Margin,Q211001002813,
10:00:12,PROG,S,1.99,2,CPGO,,100467,Margin,Q211001003858,
09:45:26,RES,B,5.0197,2,CPGO,,100467,Margin,Q211001002743,
09:59:31,PROG,B,2.0394,2,CPGO,,100467,Margin,Q211001003806,
10:11:58,MRNA,B,330.01,2,CPGO,,100467,Margin,Q211001004635,
09:39:22,BMRA,S,5.96,2,CPGO,,100467,Margin,Q211001002232,
10:11:24,MRNA,SS,327.542,2,CPGO,,100467,Short,Q211001004607,
09:39:03,PROG,B,1.96,2,CPGO,,100467,Margin,Q211001002199,
09:50:01,AVIR,B,42.23,2,CPGO,,100467,Margin,Q211001003091,
