Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
10:03:51,NCTY,B,12.8197,585,CPGO,,100467,Margin,Q210604008281,
10:03:51,NCTY,B,12.8197,15,CPGO,,100467,Margin,Q210604008281,
10:03:50,NCTY,B,12.82,100,CPGO,,100467,Margin,Q210604008281,
09:49:00,NCTY,SS,13.7,100,CPGO,,100467,Short,Q210604006038,
09:48:53,NCTY,SS,13.7,100,CPGO,,100467,Short,Q210604006019,
09:58:17,WINT,SS,2.7803,312,CPGO,,100467,Short,Q210604007402,
09:58:17,WINT,SS,2.7803,116,CPGO,,100467,Short,Q210604007402,
09:58:17,WINT,SS,2.7803,340,CPGO,,100467,Short,Q210604007402,
09:58:17,WINT,SS,2.7803,232,CPGO,,100467,Short,Q210604007402,
09:46:34,GTT,SS,3.31,10,CPGO,,100467,Short,Q210604005455,
09:52:18,WINT,B,2.7297,1000,CPGO,,100467,Margin,Q210604006558,
09:38:36,NCTY,B,14.21,200,CPGO,,100467,Margin,Q210604003925,
09:46:09,GTT,SS,3.315,100,CPGO,,100467,Short,Q210604005455,
09:38:15,GTT,SS,3.14,300,CPGO,,100467,Short,Q210604003842,
09:46:00,GTT,SS,3.37,40,CPGO,,100467,Short,Q210604005455,
09:46:00,GTT,SS,3.37,150,CPGO,,100467,Short,Q210604005455,
09:43:08,BCTX,B,5.6297,250,CPGO,,100467,Margin,Q210604004866,
09:43:08,AMC,B,53.5297,32,CPGO,,100467,Margin,Q210604004865,
09:43:08,GTT,B,3.3297,200,CPGO,,100467,Margin,Q210604004868,
09:43:08,AMC,B,53.4997,68,CPGO,,100467,Margin,Q210604004865,
09:43:08,GTT,B,3.32,100,CPGO,,100467,Margin,Q210604004868,
09:43:08,SENS,B,2.68,500,CPGO,,100467,Margin,Q210604004867,
10:34:30,GTT,B,2.9897,300,CPGO,,100467,Margin,Q210604011957,
09:37:42,SENS,SS,2.6903,400,CPGO,,100467,Short,Q210604003727,
09:37:42,SENS,SS,2.69,100,CPGO,,100467,Short,Q210604003727,
10:33:55,NCTY,SS,12.7803,400,CPGO,,100467,Short,Q210604011899,
10:33:55,NCTY,SS,12.78,100,CPGO,,100467,Short,Q210604011899,
09:20:01,AMC,SS,49.27,88,CPGO,,100467,Short,Q210604001476,
09:20:01,AMC,SS,49.29,1,CPGO,,100467,Short,Q210604001476,
09:20:01,AMC,SS,49.27,1,CPGO,,100467,Short,Q210604001476,
09:20:00,AMC,SS,49.27,10,CPGO,,100467,Short,Q210604001476,
10:18:59,AMC,SS,48.7505,100,CPGO,,100467,Short,Q210604010106,
10:31:51,NCTY,SS,13.0203,50,CPGO,,100467,Short,Q210604011659,
10:31:51,NCTY,SS,13.0203,100,CPGO,,100467,Short,Q210604011659,
10:31:51,NCTY,SS,13.0203,100,CPGO,,100467,Short,Q210604011659,
10:31:48,NCTY,SS,13.0203,150,CPGO,,100467,Short,Q210604011654,
10:31:48,NCTY,SS,13.02,100,CPGO,,100467,Short,Q210604011654,
09:19:19,NCTY,SS,13.63,100,CPGO,,100467,Short,Q210604001212,
09:19:19,NCTY,SS,13.63,100,CPGO,,100467,Short,Q210604001212,
10:55:51,NCTY,SS,12.7503,900,CPGO,,100467,Short,Q210604013713,
10:55:51,NCTY,SS,12.75,100,CPGO,,100467,Short,Q210604013713,
10:43:12,GTT,SS,2.9201,500,CPGO,,100467,Short,Q210604012773,
09:34:14,NCTY,SS,13.48,250,CPGO,,100467,Short,Q210604002942,
10:43:01,GTT,SS,2.9201,200,CPGO,,100467,Short,Q210604012757,
11:08:36,NCTY,SS,13.13,74,CPGO,,100467,Short,Q210604014545,
11:08:36,NCTY,SS,13.13,26,CPGO,,100467,Short,Q210604014545,
11:08:36,NCTY,SS,13.13,50,CPGO,,100467,Short,Q210604014545,
11:08:36,NCTY,SS,13.13,150,CPGO,,100467,Short,Q210604014545,
11:08:36,NCTY,SS,13.13,700,CPGO,,100467,Short,Q210604014545,
10:42:28,GTT,SS,2.92,300,CPGO,,100467,Short,Q210604012697,
11:23:44,BCTX,B,5.4,250,CPGO,,100467,Margin,Q210604015671,
11:23:39,NCTY,B,13.3497,1000,CPGO,,100467,Margin,Q210604015668,
10:30:42,SENS,B,2.6797,200,CPGO,,100467,Margin,Q210604011488,
10:30:42,SENS,B,2.68,300,CPGO,,100467,Margin,Q210604011488,
10:06:53,AMC,SS,49.8402,100,CPGO,,100467,Short,Q210604008671,
11:23:10,GTT,B,2.9297,940,CPGO,,100467,Margin,Q210604015646,
11:23:10,GTT,B,2.9297,60,CPGO,,100467,Margin,Q210604015646,
10:40:00,SENS,SS,2.68,500,CPGO,,100467,Short,Q210604012482,
10:53:39,NCTY,B,12.87,100,CPGO,,100467,Margin,Q210604013558,
10:53:39,NCTY,B,12.87,100,CPGO,,100467,Margin,Q210604013558,
10:53:39,NCTY,B,12.87,100,CPGO,,100467,Margin,Q210604013558,
10:53:39,NCTY,B,12.88,400,CPGO,,100467,Margin,Q210604013558,
10:53:39,NCTY,B,12.87,300,CPGO,,100467,Margin,Q210604013558,
09:54:16,NCTY,SS,13.4103,300,CPGO,,100467,Short,Q210604006854,
09:36:21,AMC,SS,50.26,82,CPGO,,100467,Short,Q210604003455,
09:36:21,AMC,SS,50.26,18,CPGO,,100467,Short,Q210604003455,
10:39:42,SENS,SS,2.68,500,CPGO,,100467,Short,Q210604012460,
10:38:21,NCTY,B,13.11,65,CPGO,,100467,Margin,Q210604012374,
10:38:21,NCTY,B,13.12,23,CPGO,,100467,Margin,Q210604012374,
10:38:21,NCTY,B,13.13,12,CPGO,,100467,Margin,Q210604012374,
10:38:21,NCTY,B,13.13,100,CPGO,,100467,Margin,Q210604012374,
10:38:21,NCTY,B,13.14,100,CPGO,,100467,Margin,Q210604012374,
10:38:21,NCTY,B,13.14,700,CPGO,,100467,Margin,Q210604012374,
09:40:22,NCTY,B,14.4797,59,CPGO,,100467,Margin,Q210604004327,
09:40:22,NCTY,B,14.4797,11,CPGO,,100467,Margin,Q210604004327,
09:40:22,NCTY,B,14.4797,70,CPGO,,100467,Margin,Q210604004327,
09:40:22,NCTY,B,14.4697,110,CPGO,,100467,Margin,Q210604004327,
11:06:27,NCTY,B,13.0797,293,CPGO,,100467,Margin,Q210604014390,
11:06:27,NCTY,B,13.0797,507,CPGO,,100467,Margin,Q210604014390,
11:06:26,NCTY,B,13.06,200,CPGO,,100467,Margin,Q210604014390,
10:50:27,SENS,B,2.7597,100,CPGO,,100467,Margin,Q210604013365,
10:50:27,SENS,B,2.7597,500,CPGO,,100467,Margin,Q210604013365,
10:50:27,SENS,B,2.76,100,CPGO,,100467,Margin,Q210604013365,
10:50:27,SENS,B,2.76,300,CPGO,,100467,Margin,Q210604013365,
09:50:01,BCTX,SS,5.525,56,CPGO,,100467,Short,Q210604006168,
09:49:52,BCTX,SS,5.53,100,CPGO,,100467,Short,Q210604006168,
10:05:41,SENS,SS,2.6403,500,CPGO,,100467,Short,Q210604008493,
09:49:48,BCTX,SS,5.5202,94,CPGO,,100467,Short,Q210604006168,
09:44:19,WINT,SS,2.5103,500,CPGO,,100467,Short,Q210604005075,
09:31:19,BCTX,SS,5.67,28,CPGO,,100467,Short,Q210604002138,
09:44:19,WINT,SS,2.5103,100,CPGO,,100467,Short,Q210604005075,
