Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
10:16:03,KSS,B,46.6694,100,CPGO,,100467,Margin,Q210930005587,
09:41:29,PALT,B,10.84,2,CPGO,,100467,Margin,Q210930002912,
09:41:10,PALT,B,10.61,2,CPGO,,100467,Margin,Q210930002874,
10:10:57,KSS,SS,46.5807,100,CPGO,,100467,Short,Q210930005336,
10:03:20,SDPI,S,1.3103,2,CPGO,,100467,Margin,Q210930004762,
09:36:44,KSS,SS,47.5701,2,CPGO,,100467,Short,Q210930002360,
10:14:18,KSS,SS,46.5101,100,CPGO,,100467,Short,Q210930005485,
09:51:12,SDPI,B,1.3098,2,CPGO,,100467,Margin,Q210930003750,
09:53:22,KSS,SS,46.8601,2,CPGO,,100467,Short,Q210930003973,
09:36:07,CEI,S,3.89,2,CPGO,,100467,Margin,Q210930002237,
10:02:23,KSS,B,46.8797,2,CPGO,,100467,Margin,Q210930004716,
10:12:32,KSS,B,46.5993,100,CPGO,,100467,Margin,Q210930005407,
09:36:06,SDPI,S,1.47,2,CPGO,,100467,Margin,Q210930002209,
09:33:06,CEI,B,4.1,2,CPGO,,100467,Margin,Q210930001885,
09:44:04,KSS,B,47.19,2,CPGO,,100467,Margin,Q210930003199,
09:32:52,SDPI,B,1.41,2,CPGO,,100467,Margin,Q210930001870,
09:41:53,PALT,S,11.67,4,CPGO,,100467,Margin,Q210930002965,
