Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
09:55:33,FB,SS,336.7132,1,CPGO,,100467,Short,Q211007002754,
09:55:33,FB,SS,336.7757,3,CPGO,,100467,Short,Q211007002754,
10:02:51,VYGR,SS,3.75,100,CPGO,,100467,Short,Q211007003135,
10:06:10,FB,SS,336.12,8,CPGO,,100467,Short,Q211007003329,
10:06:09,FB,SS,336.1306,4,CPGO,,100467,Short,Q211007003327,
10:05:59,FB,SS,336.13,4,CPGO,,100467,Short,Q211007003315,
09:54:53,VYGR,SS,3.68,100,CPGO,,100467,Short,Q211007002719,
10:01:30,PALT,S,10.06,4,CPGO,,100467,Margin,Q211007003058,
10:04:33,VYGR,SS,3.75,200,CPGO,,100467,Short,Q211007003248,
09:59:54,PALT,B,10.27,4,CPGO,,100467,Margin,Q211007002978,
10:11:16,FB,B,335.748,1,CPGO,,100467,Margin,Q211007003595,
10:11:16,FB,B,335.747,15,CPGO,,100467,Margin,Q211007003595,
09:58:41,FB,B,336.27,4,CPGO,,100467,Margin,Q211007002913,
10:08:05,VYGR,B,3.8094,100,CPGO,,100467,Margin,Q211007003415,
10:08:05,VYGR,B,3.8094,100,CPGO,,100467,Margin,Q211007003415,
10:08:05,VYGR,B,3.8098,100,CPGO,,100467,Margin,Q211007003415,
10:08:05,VYGR,B,3.81,100,CPGO,,100467,Margin,Q211007003415,
