Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
09:59:16,FR,SS,56.32,100,CPGO,,100467,Short,Q210831005488,
09:35:34,ZM,SS,289.0005,20,CPGO,,100467,Short,Q210831003176,
09:52:58,ACIU,B,11.0294,100,CPGO,,100467,Margin,Q210831004966,
09:52:58,ACIU,B,11.0294,100,CPGO,,100467,Margin,Q210831004966,
10:09:25,AFRM,B,93.07,100,CPGO,,100467,Margin,Q210831006405,
09:49:53,ACIU,SS,11.2305,100,CPGO,,100467,Short,Q210831004653,
09:41:35,ACIU,SS,11.77,100,CPGO,,100467,Short,Q210831003958,
09:48:17,ZM,B,295.1194,20,CPGO,,100467,Margin,Q210831004480,
09:57:00,ZM,SS,290.1505,15,CPGO,,100467,Short,Q210831005325,
09:57:00,ZM,SS,290.1506,5,CPGO,,100467,Short,Q210831005325,
10:56:14,FR,B,56.4695,100,CPGO,,100467,Margin,Q210831008874,
10:06:07,AFRM,SS,92.4606,100,CPGO,,100467,Short,Q210831006093,
09:47:48,ZEV,SS,9.9206,100,CPGO,,100467,Short,Q210831004428,
12:57:04,QLGN,B,1.6,500,CPGO,,100467,Margin,Q210831011752,
12:57:04,QLGN,B,1.5999,500,CPGO,,100467,Margin,Q210831011752,
09:47:32,ZEV,B,9.999,100,CPGO,,100467,Margin,Q210831004413,
09:36:32,ACIU,B,12.32,7,CPGO,,100467,Margin,Q210831003355,
09:36:32,ACIU,B,12.3194,43,CPGO,,100467,Margin,Q210831003355,
09:40:25,ACIU,S,11.47,100,CPGO,,100467,Margin,Q210831003796,
09:36:32,ACIU,B,12.3194,50,CPGO,,100467,Margin,Q210831003355,
11:14:46,CHS,B,4.9,95,CPGO,,100467,Margin,Q210831009436,
11:14:46,CHS,B,4.9,5,CPGO,,100467,Margin,Q210831009436,
11:14:45,CHS,B,4.8894,100,CPGO,,100467,Margin,Q210831009436,
09:47:05,ZEV,SS,9.92,56,CPGO,,100467,Short,Q210831004383,
09:47:05,ZEV,SS,9.9206,40,CPGO,,100467,Short,Q210831004383,
09:47:05,ZEV,SS,9.9206,4,CPGO,,100467,Short,Q210831004383,
09:40:19,ZEV,S,10.2203,95,CPGO,,100467,Margin,Q210831003776,
09:40:19,ZEV,S,10.2606,5,CPGO,,100467,Margin,Q210831003776,
09:36:19,ZEV,B,9.74,100,CPGO,,100467,Margin,Q210831003311,
09:56:20,ACIU,B,11.1294,100,CPGO,,100467,Margin,Q210831005275,
10:52:53,QLGN,SS,1.505,1000,CPGO,,100467,Short,Q210831008712,
09:55:38,ZEV,B,9.4194,100,CPGO,,100467,Margin,Q210831005228,
09:54:46,ACIU,SS,10.95,100,CPGO,,100467,Short,Q210831005134,
10:01:06,CHS,SS,4.9702,100,CPGO,,100467,Short,Q210831005626,
10:01:00,CHS,SS,4.9601,100,CPGO,,100467,Short,Q210831005619,
10:00:26,ZM,B,291.9997,20,CPGO,,100467,Margin,Q210831005575,
