Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
11:17:27,PLUG,SS,33.07,36,CPGO,,100467,Short,Q211013007665,
11:17:27,PLUG,SS,33.07,50,CPGO,,100467,Short,Q211013007665,
11:17:27,PLUG,SS,33.07,1,CPGO,,100467,Short,Q211013007665,
11:17:27,PLUG,SS,33.07,13,CPGO,,100467,Short,Q211013007665,
10:03:50,WTRH,S,1.3,8,CPGO,,100467,Margin,Q211013004061,
10:53:17,PLUG,SS,32.35,100,CPGO,,100467,Short,Q211013006846,
10:52:25,OCGN,SS,8.97,100,CPGO,,100467,Short,Q211013006820,
09:40:55,WTRH,S,1.22,8,CPGO,,100467,Margin,Q211013002110,
10:09:31,KOSS,B,19.699,8,CPGO,,100467,Margin,Q211013004437,
09:38:31,KOSS,B,21.1997,8,CPGO,,100467,Margin,Q211013001909,
09:57:14,PLUG,S,32.25,8,CPGO,,100467,Margin,Q211013003502,
09:57:11,KOSS,B,20.05,8,CPGO,,100467,Margin,Q211013003500,
09:37:16,WTRH,B,1.16,8,CPGO,,100467,Margin,Q211013001828,
10:13:12,OCGN,SS,8.74,8,CPGO,,100467,Short,Q211013004661,
09:48:12,PLUG,B,32.9297,8,CPGO,,100467,Margin,Q211013002717,
09:59:19,WTRH,B,1.27,8,CPGO,,100467,Margin,Q211013003682,
09:46:02,OCGN,S,8.8,8,CPGO,,100467,Margin,Q211013002572,
09:45:53,KOSS,S,21.1007,8,CPGO,,100467,Margin,Q211013002558,
10:57:14,PLUG,B,32.54,100,CPGO,,100467,Margin,Q211013006979,
09:41:34,OCGN,B,8.8495,8,CPGO,,100467,Margin,Q211013002169,
10:16:34,OCGN,B,8.72,8,CPGO,,100467,Margin,Q211013004832,
10:04:12,KOSS,SS,19.6703,8,CPGO,,100467,Short,Q211013004093,
09:54:29,KOSS,SS,20,8,CPGO,,100467,Short,Q211013003289,
11:18:23,PLUG,B,33.2398,100,CPGO,,100467,Margin,Q211013007688,
11:09:48,OCGN,B,9.05,100,CPGO,,100467,Margin,Q211013007434,
