Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
10:07:52,CLOV,SS,22.7203,57,CPGO,,100467,Short,Q210609012933,
10:07:52,CLOV,SS,22.7203,5,CPGO,,100467,Short,Q210609012933,
10:07:52,CLOV,SS,22.7203,1,CPGO,,100467,Short,Q210609012933,
10:07:52,CLOV,SS,22.7203,27,CPGO,,100467,Short,Q210609012933,
10:07:52,CLOV,SS,22.7203,100,CPGO,,100467,Short,Q210609012933,
09:59:46,GEO,S,9.5203,1,CPGO,,100467,Margin,Q210609011204,
10:19:55,CLOV,B,19.9197,164,CPGO,,100467,Margin,Q210609014860,
10:19:55,CLOV,B,19.9197,25,CPGO,,100467,Margin,Q210609014860,
10:19:55,CLOV,B,19.9197,5,CPGO,,100467,Margin,Q210609014860,
10:19:55,CLOV,B,19.9197,305,CPGO,,100467,Margin,Q210609014860,
10:19:55,CLOV,B,19.9197,200,CPGO,,100467,Margin,Q210609014860,
10:19:55,CLOV,B,19.9197,1,CPGO,,100467,Margin,Q210609014860,
10:19:55,CLOV,B,19.9197,100,CPGO,,100467,Margin,Q210609014860,
10:19:55,CLOV,B,19.9197,100,CPGO,,100467,Margin,Q210609014860,
10:19:55,CLOV,B,19.9197,100,CPGO,,100467,Margin,Q210609014860,
09:37:58,AEMD,S,10.4703,2,CPGO,,100467,Margin,Q210609006568,
09:39:28,WISH,SS,14.7903,1,CPGO,,100467,Short,Q210609006989,
10:34:19,WISH,B,12.0897,1000,CPGO,,100467,Margin,Q210609016525,
09:50:42,GEO,B,10.11,1,CPGO,,100467,Margin,Q210609009509,
09:50:31,WISH,S,12.8303,1,CPGO,,100467,Margin,Q210609009461,
14:10:02,CLOV,SS,18.66,1000,CPGO,,100467,Short,Q210609028045,
09:59:41,WISH,B,12.4497,1,CPGO,,100467,Margin,Q210609011182,
09:30:20,AEMD,B,11.3997,1,CPGO,,100467,Margin,Q210609003601,
09:35:49,AEMD,B,10.7997,1,CPGO,,100467,Margin,Q210609005885,
10:19:43,CLOV,SS,19.6,900,CPGO,,100467,Short,Q210609014789,
10:19:43,CLOV,SS,19.6,100,CPGO,,100467,Short,Q210609014789,
09:59:30,CLOV,B,22.9997,1,CPGO,,100467,Margin,Q210609011147,
09:37:34,CLOV,S,26.21,1,CPGO,,100467,Margin,Q210609006455,
10:30:17,WISH,SS,11.8003,1000,CPGO,,100467,Short,Q210609016036,
09:39:08,CLOV,SS,25.87,1,CPGO,,100467,Short,Q210609006879,
09:52:37,WISH,SS,12.86,1,CPGO,,100467,Short,Q210609009857,
09:54:28,AEMD,SS,8.8303,1,CPGO,,100467,Short,Q210609010163,
09:40:16,CLNE,SS,13.65,1,CPGO,,100467,Short,Q210609007213,
09:42:00,CLNE,B,12.8497,1,CPGO,,100467,Margin,Q210609007688,
09:37:00,CLNE,B,13.92,1,CPGO,,100467,Margin,Q210609006269,
09:49:06,WISH,B,13.3197,1,CPGO,,100467,Margin,Q210609009207,
09:48:57,CLOV,SS,24.88,1,CPGO,,100467,Short,Q210609009187,
09:41:37,CLOV,B,24.87,1,CPGO,,100467,Margin,Q210609007596,
14:13:19,CLOV,B,19.2197,141,CPGO,,100467,Margin,Q210609028203,
14:13:19,CLOV,B,19.2197,859,CPGO,,100467,Margin,Q210609028203,
10:18:52,CLOV,B,20.1497,200,CPGO,,100467,Margin,Q210609014627,
10:18:52,CLOV,B,20.1497,500,CPGO,,100467,Margin,Q210609014627,
10:18:52,CLOV,B,20.15,200,CPGO,,100467,Margin,Q210609014627,
10:18:52,CLOV,B,20.14,100,CPGO,,100467,Margin,Q210609014627,
09:34:30,CLNE,SS,13.235,1,CPGO,,100467,Short,Q210609005412,
09:36:37,CLOV,B,25.9397,1,CPGO,,100467,Margin,Q210609006165,
09:56:05,AEMD,B,9.9697,1,CPGO,,100467,Margin,Q210609010410,
09:41:18,WISH,B,13.8697,1,CPGO,,100467,Margin,Q210609007524,
10:07:52,CLOV,SS,22.7103,774,CPGO,,100467,Short,Q210609012933,
10:07:52,CLOV,SS,22.7503,1,CPGO,,100467,Short,Q210609012933,
10:07:52,CLOV,SS,22.7203,25,CPGO,,100467,Short,Q210609012933,
10:07:52,CLOV,SS,22.7203,10,CPGO,,100467,Short,Q210609012933,
