Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
14:47:03,FUBO,B,18.4397,400,CPGO,,100467,Margin,Q210513021222,
10:17:27,CUE,SS,14,1000,CPGO,,100467,Short,Q210513008552,
10:43:38,VNTR,SS,4.34,850,CPGO,,100467,Short,Q210513010702,
10:43:38,VNTR,SS,4.34,144,CPGO,,100467,Short,Q210513010702,
10:43:38,VNTR,SS,4.3406,3,CPGO,,100467,Short,Q210513010702,
10:43:38,VNTR,SS,4.3402,3,CPGO,,100467,Short,Q210513010702,
10:29:18,LHDX,SS,6.48,365,CPGO,,100467,Short,Q210513009573,
09:53:18,FUBO,B,18.62,200,CPGO,,100467,Margin,Q210513005814,
09:53:18,FUBO,B,18.6199,300,CPGO,,100467,Margin,Q210513005814,
10:29:09,LHDX,SS,6.4706,135,CPGO,,100467,Short,Q210513009573,
09:47:28,FTEK,B,2.4697,1000,CPGO,,100467,Margin,Q210513004848,
10:03:31,FUBO,B,19.0497,100,CPGO,,100467,Margin,Q210513007058,
10:03:30,FUBO,B,19.0497,200,CPGO,,100467,Margin,Q210513007058,
10:03:30,FUBO,B,19.0497,100,CPGO,,100467,Margin,Q210513007058,
10:03:30,FUBO,B,19.0497,100,CPGO,,100467,Margin,Q210513007058,
11:09:59,RELI,SS,4.2203,898,CPGO,,100467,Short,Q210513012428,
11:09:59,RELI,SS,4.2203,2,CPGO,,100467,Short,Q210513012428,
11:09:59,RELI,SS,4.2103,100,CPGO,,100467,Short,Q210513012428,
14:44:05,VTNR,B,1.6697,2000,CPGO,,100467,Margin,Q210513021138,
12:35:23,RELI,B,4.1497,500,CPGO,,100467,Margin,Q210513015900,
12:35:23,RELI,B,4.1497,56,CPGO,,100467,Margin,Q210513015900,
12:35:23,RELI,B,4.1497,443,CPGO,,100467,Margin,Q210513015900,
12:35:23,RELI,B,4.1497,1,CPGO,,100467,Margin,Q210513015900,
11:09:29,RELI,B,4.54,400,CPGO,,100467,Margin,Q210513012392,
11:09:29,RELI,B,4.54,100,CPGO,,100467,Margin,Q210513012392,
13:37:39,FUBO,SS,17.8003,500,CPGO,,100467,Short,Q210513017897,
09:42:46,FTEK,B,2.3497,700,CPGO,,100467,Margin,Q210513003998,
09:42:46,FTEK,B,2.35,300,CPGO,,100467,Margin,Q210513003998,
09:42:43,FUBO,SS,18.99,500,CPGO,,100467,Short,Q210513003937,
09:33:30,FUBO,SS,18.9703,100,CPGO,,100467,Short,Q210513002307,
11:16:56,CUE,B,13.77,117,CPGO,,100467,Margin,Q210513012779,
11:16:56,CUE,B,13.77,256,CPGO,,100467,Margin,Q210513012779,
