Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
10:08:19,HX,SS,9.12,8,CPGO,,100467,Short,Q211020004306,
09:46:03,HX,B,10.49,8,CPGO,,100467,Margin,Q211020002794,
09:37:48,TRKA,S,2.08,8,CPGO,,100467,Margin,Q211020002045,
09:35:24,TRKA,B,2.05,8,CPGO,,100467,Margin,Q211020001762,
11:00:15,RDUS,B,20.2099,550,CPGO,,100467,Margin,Q211020006159,
11:00:15,RDUS,B,20.19,100,CPGO,,100467,Margin,Q211020006159,
11:00:15,RDUS,B,20.18,50,CPGO,,100467,Margin,Q211020006159,
09:37:40,RDUS,S,22.72,8,CPGO,,100467,Margin,Q211020002036,
11:00:15,RDUS,B,20.1599,200,CPGO,,100467,Margin,Q211020006159,
11:00:15,RDUS,B,20.16,100,CPGO,,100467,Margin,Q211020006159,
11:35:19,RDUS,SS,19.83,200,CPGO,,100467,Short,Q211020007281,
11:00:10,RDUS,B,20.2199,97,CPGO,,100467,Margin,Q211020006153,
11:00:10,RDUS,B,20.2199,1,CPGO,,100467,Margin,Q211020006153,
11:35:13,RDUS,SS,19.9803,100,CPGO,,100467,Short,Q211020007278,
11:00:10,RDUS,B,20.2194,2,CPGO,,100467,Margin,Q211020006153,
11:00:10,RDUS,B,20.21,498,CPGO,,100467,Margin,Q211020006153,
11:00:10,RDUS,B,20.21,2,CPGO,,100467,Margin,Q211020006153,
11:00:10,RDUS,B,20.22,300,CPGO,,100467,Margin,Q211020006153,
11:00:09,RDUS,B,20.22,100,CPGO,,100467,Margin,Q211020006153,
11:34:53,RDUS,SS,19.96,100,CPGO,,100467,Short,Q211020007275,
11:08:08,TRKA,B,1.7994,100,CPGO,,100467,Margin,Q211020006407,
11:08:08,TRKA,B,1.7994,100,CPGO,,100467,Margin,Q211020006407,
11:08:08,TRKA,B,1.7994,100,CPGO,,100467,Margin,Q211020006407,
11:08:08,TRKA,B,1.7994,100,CPGO,,100467,Margin,Q211020006407,
11:08:08,TRKA,B,1.8,100,CPGO,,100467,Margin,Q211020006407,
09:49:00,RDUS,B,21.75,4,CPGO,,100467,Margin,Q211020003053,
09:49:00,RDUS,B,21.7497,4,CPGO,,100467,Margin,Q211020003053,
11:34:09,RDUS,B,20.1,400,CPGO,,100467,Margin,Q211020007259,
11:34:08,RDUS,B,20.0994,200,CPGO,,100467,Margin,Q211020007259,
11:34:08,RDUS,B,20.0995,200,CPGO,,100467,Margin,Q211020007259,
11:07:42,RDUS,B,19.88,285,CPGO,,100467,Margin,Q211020006393,
11:07:42,RDUS,B,19.88,15,CPGO,,100467,Margin,Q211020006393,
11:07:42,RDUS,B,19.88,100,CPGO,,100467,Margin,Q211020006393,
11:07:42,RDUS,B,19.8797,100,CPGO,,100467,Margin,Q211020006393,
11:07:42,RDUS,B,19.88,200,CPGO,,100467,Margin,Q211020006393,
11:07:42,RDUS,B,19.87,200,CPGO,,100467,Margin,Q211020006393,
11:07:42,RDUS,B,19.87,100,CPGO,,100467,Margin,Q211020006393,
09:40:11,RDUS,B,22.56,8,CPGO,,100467,Margin,Q211020002235,
09:45:24,RDUS,B,22.9,8,CPGO,,100467,Margin,Q211020002738,
10:01:55,RDUS,B,20.8094,28,CPGO,,100467,Margin,Q211020003953,
10:01:55,RDUS,B,20.8094,30,CPGO,,100467,Margin,Q211020003953,
10:01:55,RDUS,B,20.8094,30,CPGO,,100467,Margin,Q211020003953,
10:01:55,RDUS,B,20.8094,40,CPGO,,100467,Margin,Q211020003953,
10:45:49,RDUS,SS,19.4306,44,CPGO,,100467,Short,Q211020005779,
10:45:49,RDUS,SS,19.4306,100,CPGO,,100467,Short,Q211020005779,
10:45:49,RDUS,SS,19.4306,100,CPGO,,100467,Short,Q211020005779,
10:45:49,RDUS,SS,19.4405,47,CPGO,,100467,Short,Q211020005779,
10:45:49,RDUS,SS,19.4405,53,CPGO,,100467,Short,Q211020005779,
10:45:49,RDUS,SS,19.4405,100,CPGO,,100467,Short,Q211020005779,
10:45:49,RDUS,SS,19.4405,53,CPGO,,100467,Short,Q211020005779,
10:45:49,RDUS,SS,19.4405,100,CPGO,,100467,Short,Q211020005779,
10:45:49,RDUS,SS,19.4405,53,CPGO,,100467,Short,Q211020005779,
10:45:49,RDUS,SS,19.441,47,CPGO,,100467,Short,Q211020005779,
10:45:49,RDUS,SS,19.4415,53,CPGO,,100467,Short,Q211020005779,
10:45:49,RDUS,SS,19.441,50,CPGO,,100467,Short,Q211020005779,
10:45:49,RDUS,SS,19.441,50,CPGO,,100467,Short,Q211020005779,
10:45:49,RDUS,SS,19.4407,50,CPGO,,100467,Short,Q211020005779,
10:45:49,RDUS,SS,19.43,100,CPGO,,100467,Short,Q211020005779,
11:32:46,RDUS,SS,20.02,400,CPGO,,100467,Short,Q211020007212,
11:32:44,RDUS,SS,20.08,100,CPGO,,100467,Short,Q211020007208,
11:32:44,RDUS,SS,20.0803,100,CPGO,,100467,Short,Q211020007208,
11:32:41,RDUS,SS,20.07,100,CPGO,,100467,Short,Q211020007205,
09:42:45,HX,B,10.89,8,CPGO,,100467,Margin,Q211020002462,
10:44:35,RDUS,B,19.65,1000,CPGO,,100467,Margin,Q211020005740,
11:06:45,RDUS,SS,19.75,80,CPGO,,100467,Short,Q211020006357,
11:06:45,RDUS,SS,19.75,200,CPGO,,100467,Short,Q211020006357,
11:06:45,RDUS,SS,19.75,300,CPGO,,100467,Short,Q211020006357,
11:06:45,RDUS,SS,19.76,400,CPGO,,100467,Short,Q211020006357,
11:06:45,RDUS,SS,19.77,10,CPGO,,100467,Short,Q211020006357,
11:06:45,RDUS,SS,19.7703,10,CPGO,,100467,Short,Q211020006357,
11:13:56,RDUS,B,20.5894,143,CPGO,,100467,Margin,Q211020006589,
11:13:56,RDUS,B,20.54,200,CPGO,,100467,Margin,Q211020006589,
11:13:56,RDUS,B,20.54,200,CPGO,,100467,Margin,Q211020006589,
11:13:56,RDUS,B,20.54,57,CPGO,,100467,Margin,Q211020006589,
09:42:29,LMDX,B,9.85,8,CPGO,,100467,Margin,Q211020002423,
11:13:56,RDUS,B,20.55,57,CPGO,,100467,Margin,Q211020006589,
11:13:56,RDUS,B,20.54,43,CPGO,,100467,Margin,Q211020006589,
11:13:56,RDUS,B,20.53,300,CPGO,,100467,Margin,Q211020006589,
09:32:18,LMDX,B,10.37,8,CPGO,,100467,Margin,Q211020001402,
09:39:38,LMDX,SS,10.0006,8,CPGO,,100467,Short,Q211020002187,
10:43:28,RDUS,SS,19.66,50,CPGO,,100467,Short,Q211020005700,
10:43:28,RDUS,SS,19.66,50,CPGO,,100467,Short,Q211020005700,
10:43:28,RDUS,SS,19.6606,100,CPGO,,100467,Short,Q211020005700,
10:43:28,RDUS,SS,19.6606,100,CPGO,,100467,Short,Q211020005700,
10:43:28,RDUS,SS,19.66,400,CPGO,,100467,Short,Q211020005700,
10:43:28,RDUS,SS,19.68,300,CPGO,,100467,Short,Q211020005700,
09:34:27,RDUS,B,22.66,8,CPGO,,100467,Margin,Q211020001661,
11:42:49,RDUS,SS,19.8,18,CPGO,,100467,Short,Q211020007494,
11:42:49,RDUS,SS,19.8,100,CPGO,,100467,Short,Q211020007494,
11:42:49,RDUS,SS,19.8,100,CPGO,,100467,Short,Q211020007494,
11:42:49,RDUS,SS,19.8,300,CPGO,,100467,Short,Q211020007494,
11:42:48,RDUS,SS,19.8006,100,CPGO,,100467,Short,Q211020007494,
11:42:48,RDUS,SS,19.8006,100,CPGO,,100467,Short,Q211020007494,
11:42:48,RDUS,SS,19.8007,182,CPGO,,100467,Short,Q211020007494,
11:42:48,RDUS,SS,19.8,100,CPGO,,100467,Short,Q211020007494,
09:42:21,HX,B,10.7999,8,CPGO,,100467,Margin,Q211020002405,
10:11:06,HX,B,9.3,8,CPGO,,100467,Margin,Q211020004445,
11:30:49,RDUS,SS,20.26,100,CPGO,,100467,Short,Q211020007145,
10:42:29,RDUS,B,19.9194,100,CPGO,,100467,Margin,Q211020005671,
09:47:33,PROG,SS,2.7101,50,CPGO,,100467,Short,Q211020002914,
09:50:43,RDUS,S,21.44,8,CPGO,,100467,Margin,Q211020003177,
10:06:34,RDUS,SS,20.8501,100,CPGO,,100467,Short,Q211020004207,
13:54:45,RDUS,SS,18.71,250,CPGO,,100467,Short,Q211020010448,
13:54:45,RDUS,SS,18.71,50,CPGO,,100467,Short,Q211020010448,
09:44:07,HX,SS,10.2003,8,CPGO,,100467,Short,Q211020002615,
13:54:44,RDUS,SS,18.71,500,CPGO,,100467,Short,Q211020010448,
13:54:44,RDUS,SS,18.72,200,CPGO,,100467,Short,Q211020010448,
13:52:12,RDUS,B,18.9,200,CPGO,,100467,Margin,Q211020010397,
13:52:12,RDUS,B,18.9,200,CPGO,,100467,Margin,Q211020010397,
13:52:12,RDUS,B,18.9,300,CPGO,,100467,Margin,Q211020010397,
13:52:12,RDUS,B,18.9,100,CPGO,,100467,Margin,Q211020010397,
13:52:12,RDUS,B,18.9,100,CPGO,,100467,Margin,Q211020010397,
13:52:12,RDUS,B,18.9,100,CPGO,,100467,Margin,Q211020010397,
11:11:55,RDUS,S,20.2507,200,CPGO,,100467,Margin,Q211020006527,
11:11:55,RDUS,S,20.2506,100,CPGO,,100467,Margin,Q211020006527,
11:11:55,RDUS,S,20.2506,100,CPGO,,100467,Margin,Q211020006527,
11:11:55,RDUS,S,20.2506,100,CPGO,,100467,Margin,Q211020006527,
10:40:31,RDUS,SS,20,1,CPGO,,100467,Short,Q211020005617,
11:11:55,RDUS,S,20.2506,100,CPGO,,100467,Margin,Q211020006527,
10:40:31,RDUS,SS,20,4,CPGO,,100467,Short,Q211020005617,
11:11:55,RDUS,S,20.2506,400,CPGO,,100467,Margin,Q211020006527,
10:40:31,RDUS,SS,20.0003,5,CPGO,,100467,Short,Q211020005617,
10:40:31,RDUS,SS,20.0102,50,CPGO,,100467,Short,Q211020005617,
10:40:31,RDUS,SS,20.0006,20,CPGO,,100467,Short,Q211020005617,
10:40:31,RDUS,SS,20.0006,20,CPGO,,100467,Short,Q211020005617,
09:31:41,RDUS,S,22.3457,8,CPGO,,100467,Margin,Q211020001306,
10:52:29,RDUS,SS,19.661,100,CPGO,,100467,Short,Q211020005933,
10:52:29,RDUS,SS,19.68,100,CPGO,,100467,Short,Q211020005933,
10:52:29,RDUS,SS,19.68,100,CPGO,,100467,Short,Q211020005933,
11:04:45,RDUS,SS,19.8,44,CPGO,,100467,Short,Q211020006275,
10:52:29,RDUS,SS,19.65,400,CPGO,,100467,Short,Q211020005933,
11:04:45,RDUS,SS,19.8,1,CPGO,,100467,Short,Q211020006275,
10:52:29,RDUS,SS,19.66,200,CPGO,,100467,Short,Q211020005933,
11:04:45,RDUS,SS,19.8,100,CPGO,,100467,Short,Q211020006275,
10:52:29,RDUS,SS,19.67,100,CPGO,,100467,Short,Q211020005933,
11:04:45,RDUS,SS,19.8,100,CPGO,,100467,Short,Q211020006275,
11:04:45,RDUS,SS,19.8,100,CPGO,,100467,Short,Q211020006275,
11:04:45,RDUS,SS,19.81,5,CPGO,,100467,Short,Q211020006275,
11:04:45,RDUS,SS,19.81,100,CPGO,,100467,Short,Q211020006275,
11:04:45,RDUS,SS,19.8103,100,CPGO,,100467,Short,Q211020006275,
