Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
10:32:48,CLOV,B,15.3997,100,CPGO,,100467,Margin,Q210610013775,
09:47:10,CLOV,SS,16.89,5,CPGO,,100467,Short,Q210610007504,
09:47:10,CLOV,SS,16.89,95,CPGO,,100467,Short,Q210610007504,
10:17:00,IVR,SS,4.5503,300,CPGO,,100467,Short,Q210610012118,
10:17:00,IVR,SS,4.55,200,CPGO,,100467,Short,Q210610012118,
09:53:24,IVR,SS,4.2503,700,CPGO,,100467,Short,Q210610008608,
09:53:24,IVR,SS,4.25,300,CPGO,,100467,Short,Q210610008608,
10:16:57,IVR,SS,4.5503,500,CPGO,,100467,Short,Q210610012111,
09:53:16,IVR,SS,4.2503,895,CPGO,,100467,Short,Q210610008589,
09:53:16,IVR,SS,4.2503,100,CPGO,,100467,Short,Q210610008589,
09:53:16,IVR,SS,4.2603,5,CPGO,,100467,Short,Q210610008589,
09:36:09,CLOV,S,17.2518,100,CPGO,,100467,Margin,Q210610004872,
09:35:42,MDLY,B,11.3197,100,CPGO,,100467,Margin,Q210610004778,
09:35:38,MDLY,B,11.2397,100,CPGO,,100467,Margin,Q210610004762,
09:42:20,AMED,SS,259.55,100,CPGO,,100467,Short,Q210610006411,
09:45:48,GEO,SS,7.61,489,CPGO,,100467,Short,Q210610007235,
09:45:48,GEO,SS,7.61,11,CPGO,,100467,Short,Q210610007235,
09:31:12,CLOV,S,17.3,342,CPGO,,100467,Margin,Q210610003413,
09:31:12,CLOV,S,17.3,392,CPGO,,100467,Margin,Q210610003413,
09:31:12,CLOV,S,17.3,9,CPGO,,100467,Margin,Q210610003413,
09:31:12,CLOV,S,17.3,9,CPGO,,100467,Margin,Q210610003413,
09:31:12,CLOV,S,17.3,48,CPGO,,100467,Margin,Q210610003413,
09:50:41,CLNE,SS,11.74,100,CPGO,,100467,Short,Q210610008159,
10:51:51,CLNE,B,10.9597,100,CPGO,,100467,Margin,Q210610015913,
09:35:03,CLOV,B,17.8097,100,CPGO,,100467,Margin,Q210610004574,
09:52:17,IVR,S,4.2803,745,CPGO,,100467,Margin,Q210610008452,
09:52:17,IVR,S,4.2803,55,CPGO,,100467,Margin,Q210610008452,
09:52:17,IVR,S,4.28,200,CPGO,,100467,Margin,Q210610008452,
10:15:54,IVR,SS,4.5503,500,CPGO,,100467,Short,Q210610011879,
11:02:19,IVR,B,4.3097,30,CPGO,,100467,Margin,Q210610016876,
11:02:19,IVR,B,4.3097,126,CPGO,,100467,Margin,Q210610016876,
11:02:19,IVR,B,4.31,100,CPGO,,100467,Margin,Q210610016876,
11:02:19,IVR,B,4.31,600,CPGO,,100467,Margin,Q210610016876,
11:02:19,IVR,B,4.31,1144,CPGO,,100467,Margin,Q210610016876,
10:15:38,CLOV,B,15.5397,100,CPGO,,100467,Margin,Q210610011850,
10:30:59,CLOV,SS,15.2002,100,CPGO,,100467,Short,Q210610013605,
10:00:32,IVR,B,4.3097,81,CPGO,,100467,Margin,Q210610009657,
10:00:32,IVR,B,4.3097,200,CPGO,,100467,Margin,Q210610009657,
10:00:32,IVR,B,4.3097,200,CPGO,,100467,Margin,Q210610009657,
10:00:32,IVR,B,4.3097,200,CPGO,,100467,Margin,Q210610009657,
10:00:32,IVR,B,4.3097,319,CPGO,,100467,Margin,Q210610009657,
10:00:32,IVR,B,4.3097,400,CPGO,,100467,Margin,Q210610009657,
10:00:32,IVR,B,4.3097,100,CPGO,,100467,Margin,Q210610009657,
10:00:32,IVR,B,4.3097,500,CPGO,,100467,Margin,Q210610009657,
