Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
09:36:43,NURO,B,14.57,1,CPGO,,100467,Margin,Q210923002195,
09:38:17,RNAZ,B,3.5199,1,CPGO,,100467,Margin,Q210923002345,
09:38:59,AMHC,B,14.4694,1,CPGO,,100467,Margin,Q210923002409,
09:39:16,NURO,S,14.12,1,CPGO,,100467,Margin,Q210923002461,
09:40:27,MRM,B,17.2285,1,CPGO,,100467,Margin,Q210923002580,
09:41:53,AMHC,S,13.1506,1,CPGO,,100467,Margin,Q210923002707,
09:45:23,NURO,B,14.05,1,CPGO,,100467,Margin,Q210923002994,
09:46:22,RNAZ,S,3.6403,1,CPGO,,100467,Margin,Q210923003068,
09:47:22,NURO,S,13.8806,1,CPGO,,100467,Margin,Q210923003139,
09:49:04,MRM,S,16.52,1,CPGO,,100467,Margin,Q210923003271,
09:49:41,LCID,SS,24.94,1,CPGO,,100467,Short,Q210923003324,
09:54:33,LCID,SS,24.6503,1,CPGO,,100467,Short,Q210923003708,
09:55:02,LCID,B,24.695,2,CPGO,,100467,Margin,Q210923003746,
