Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
09:41:23,UFAB,B,4,1,CPGO,,100467,Margin,Q210924002209,
09:51:00,COIN,B,230.7994,1,CPGO,,100467,Margin,Q210924002953,
09:40:13,COIN,SS,232.35,1,CPGO,,100467,Short,Q210924002097,
11:02:55,CAN,SS,6.0102,1,CPGO,,100467,Short,Q210924006421,
09:49:45,UFAB,B,4.06,1,CPGO,,100467,Margin,Q210924002869,
11:12:26,CAN,B,6.05,1,CPGO,,100467,Margin,Q210924006880,
09:45:00,UFAB,S,3.6801,1,CPGO,,100467,Margin,Q210924002484,
09:38:59,COIN,B,232.9994,1,CPGO,,100467,Margin,Q210924002015,
09:36:56,CAN,SS,6.7101,1,CPGO,,100467,Short,Q210924001845,
09:36:52,COIN,SS,230.3006,1,CPGO,,100467,Short,Q210924001839,
09:54:44,UFAB,S,3.88,1,CPGO,,100467,Margin,Q210924003167,
09:53:03,CAN,B,6.6598,1,CPGO,,100467,Margin,Q210924003076,
09:36:00,AEHR,B,14.6094,1,CPGO,,100467,Margin,Q210924001760,
09:41:36,AEHR,S,14.91,1,CPGO,,100467,Margin,Q210924002238,
