Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
11:10:02,DLTR,B,100.03,500,CPGO,,100467,Margin,Q210929006591,
12:45:48,AMD,SS,99.9306,100,CPGO,,100467,Short,Q210929009234,
09:59:32,SOFI,B,16.9098,500,CPGO,,100467,Margin,Q210929003559,
12:29:28,AMD,SS,99.97,100,CPGO,,100467,Short,Q210929008945,
12:29:22,AMD,SS,99.97,200,CPGO,,100467,Short,Q210929008944,
12:29:21,AMD,SS,99.97,45,CPGO,,100467,Short,Q210929008943,
12:29:21,AMD,SS,99.9703,45,CPGO,,100467,Short,Q210929008943,
12:29:21,AMD,SS,99.9703,10,CPGO,,100467,Short,Q210929008943,
12:29:15,AMD,SS,99.9606,100,CPGO,,100467,Short,Q210929008941,
09:47:23,SOFI,B,16.7298,202,CPGO,,100467,Margin,Q210929002702,
09:53:36,SOFI,SS,16.9106,59,CPGO,,100467,Short,Q210929003174,
09:53:36,SOFI,SS,16.9106,241,CPGO,,100467,Short,Q210929003174,
09:53:36,SOFI,SS,16.91,100,CPGO,,100467,Short,Q210929003174,
09:53:36,SOFI,SS,16.91,100,CPGO,,100467,Short,Q210929003174,
11:17:39,USWS,B,1.11,500,CPGO,,100467,Margin,Q210929006974,
09:38:56,SOFI,SS,16.85,2,CPGO,,100467,Short,Q210929001999,
09:42:37,AUVI,S,7.4,4,CPGO,,100467,Margin,Q210929002329,
10:06:17,PALT,B,7.04,100,CPGO,,100467,Margin,Q210929003912,
12:20:04,USWS,B,1.14,662,CPGO,,100467,Margin,Q210929008772,
12:20:04,USWS,B,1.14,38,CPGO,,100467,Margin,Q210929008772,
12:20:04,USWS,B,1.14,300,CPGO,,100467,Margin,Q210929008772,
12:18:33,AMD,B,100.1,50,CPGO,,100467,Margin,Q210929008740,
12:18:33,AMD,B,100.0997,50,CPGO,,100467,Margin,Q210929008740,
09:51:29,SOFI,B,16.84,400,CPGO,,100467,Margin,Q210929003023,
14:00:58,CEI,S,4.39,100,CPGO,,100467,Margin,Q210929011186,
12:16:17,AMD,SS,100,34,CPGO,,100467,Short,Q210929008681,
12:16:17,AMD,SS,100.0003,5,CPGO,,100467,Short,Q210929008681,
12:16:17,AMD,SS,100.0003,30,CPGO,,100467,Short,Q210929008681,
12:16:17,AMD,SS,100.0006,31,CPGO,,100467,Short,Q210929008681,
11:52:57,DLTR,S,101.251,100,CPGO,,100467,Margin,Q210929008162,
13:59:14,CEI,B,4.38,100,CPGO,,100467,Margin,Q210929011166,
10:55:50,PALT,S,9.2,100,CPGO,,100467,Margin,Q210929006176,
11:51:21,PALT,S,12.16,52,CPGO,,100467,Margin,Q210929008094,
11:51:21,PALT,S,12.16,48,CPGO,,100467,Margin,Q210929008094,
10:10:42,CLSK,S,12.55,100,CPGO,,100467,Margin,Q210929004209,
12:34:00,AMD,B,100.11,200,CPGO,,100467,Margin,Q210929009031,
12:34:00,AMD,B,100.1097,100,CPGO,,100467,Margin,Q210929009031,
12:34:00,AMD,B,100.1097,100,CPGO,,100467,Margin,Q210929009031,
12:34:00,AMD,B,100.11,100,CPGO,,100467,Margin,Q210929009031,
10:09:59,CLSK,B,12.7194,100,CPGO,,100467,Margin,Q210929004161,
09:45:12,SOFI,SS,16.61,100,CPGO,,100467,Short,Q210929002536,
09:45:12,SOFI,SS,16.61,100,CPGO,,100467,Short,Q210929002536,
