Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
14:19:26,MRK,SS,82.48,10,CPGO,,100467,Short,Q211004009514,
11:12:04,MRK,B,82.97,4,CPGO,,100467,Margin,Q211004006252,
09:41:20,XENE,B,26.72,4,CPGO,,100467,Margin,Q211004002079,
10:27:39,MRNA,SS,324.8706,4,CPGO,,100467,Short,Q211004004725,
10:08:37,MRK,B,83.76,4,CPGO,,100467,Margin,Q211004003735,
10:16:56,CHWY,SS,65.08,2,CPGO,,100467,Short,Q211004004185,
10:16:56,CHWY,SS,65.0803,2,CPGO,,100467,Short,Q211004004185,
09:45:13,MRK,S,84.14,4,CPGO,,100467,Margin,Q211004002372,
09:34:33,RES,B,5.39,4,CPGO,,100467,Margin,Q211004001508,
10:24:58,FB,SS,329.6,4,CPGO,,100467,Short,Q211004004554,
10:36:21,FB,B,328.1394,4,CPGO,,100467,Margin,Q211004005078,
09:49:31,RES,SS,5.44,4,CPGO,,100467,Short,Q211004002634,
13:50:38,FB,B,324.1194,4,CPGO,,100467,Margin,Q211004009120,
10:23:30,CHWY,B,64.6094,4,CPGO,,100467,Margin,Q211004004487,
13:47:51,FB,SS,322.9415,4,CPGO,,100467,Short,Q211004009081,
09:43:20,MRK,B,83.89,4,CPGO,,100467,Margin,Q211004002233,
09:43:05,XENE,S,27.22,4,CPGO,,100467,Margin,Q211004002213,
10:13:24,FB,B,331.1994,4,CPGO,,100467,Margin,Q211004003961,
09:38:02,FB,SS,331.8906,3,CPGO,,100467,Short,Q211004001812,
09:38:02,FB,SS,331.8906,1,CPGO,,100467,Short,Q211004001812,
10:33:30,FB,SS,328.52,4,CPGO,,100467,Short,Q211004004972,
11:01:54,MRK,SS,82.952,2,CPGO,,100467,Short,Q211004006030,
11:01:54,MRK,SS,82.9503,2,CPGO,,100467,Short,Q211004006030,
09:47:22,MRNA,B,317.4775,4,CPGO,,100467,Margin,Q211004002514,
09:53:30,FB,SS,331.7006,4,CPGO,,100467,Short,Q211004002894,
09:36:58,MRNA,SS,315.3806,4,CPGO,,100467,Short,Q211004001747,
09:57:49,FB,B,332.1794,2,CPGO,,100467,Margin,Q211004003146,
09:57:48,FB,B,332.0994,2,CPGO,,100467,Margin,Q211004003146,
09:36:43,MRNA,B,316.2485,4,CPGO,,100467,Margin,Q211004001729,
09:57:42,MRK,SS,83.932,3,CPGO,,100467,Short,Q211004003137,
09:57:42,MRK,SS,83.9303,1,CPGO,,100467,Short,Q211004003137,
14:42:09,MRK,B,82.7897,10,CPGO,,100467,Margin,Q211004009809,
09:42:39,FB,B,330.3078,8,CPGO,,100467,Margin,Q211004002167,
09:42:18,FB,SS,331.0503,4,CPGO,,100467,Short,Q211004002142,
10:30:32,FB,B,329.0994,4,CPGO,,100467,Margin,Q211004004862,
09:36:10,MRNA,SS,314.5106,4,CPGO,,100467,Short,Q211004001683,
10:30:17,MRNA,B,322.62,4,CPGO,,100467,Margin,Q211004004844,
10:03:29,FB,SS,329.9006,4,CPGO,,100467,Short,Q211004003452,
