Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
10:08:19,EDSA,SS,8.87,1,CPGO,,100467,Short,Q210921003908,
10:12:58,BKYI,S,3.49,1,CPGO,,100467,Margin,Q210921004122,
10:28:29,EDSA,B,9.1394,1,CPGO,,100467,Margin,Q210921004760,
10:12:28,BKYI,B,3.6497,1,CPGO,,100467,Margin,Q210921004103,
09:54:54,UBER,B,43.0197,1,CPGO,,100467,Margin,Q210921002942,
09:45:12,ATH,B,66.8295,1,CPGO,,100467,Margin,Q210921002330,
09:45:02,EDSA,B,8.82,1,CPGO,,100467,Margin,Q210921002318,
09:58:08,UBER,SS,42.69,1,CPGO,,100467,Short,Q210921003206,
10:02:35,UBER,B,42.7197,1,CPGO,,100467,Margin,Q210921003521,
09:42:50,ATH,SS,66.5303,1,CPGO,,100467,Short,Q210921002200,
09:42:02,BKYI,B,3.4497,1,CPGO,,100467,Margin,Q210921002165,
09:41:08,EDSA,SS,8.9805,1,CPGO,,100467,Short,Q210921002101,
09:40:42,UBER,B,42.7597,1,CPGO,,100467,Margin,Q210921002068,
09:48:41,BKYI,S,3.4603,1,CPGO,,100467,Margin,Q210921002542,
09:56:36,UBER,S,42.8706,2,CPGO,,100467,Margin,Q210921003078,
