Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
11:47:10,CLSD,B,3.9997,5000,CPGO,,100467,Margin,Q210615019579,
11:47:10,TRCH,B,5.2097,4000,CPGO,,100467,Margin,Q210615019577,
11:06:55,TRCH,SS,5.0303,1000,CPGO,,100467,Short,Q210615017075,
12:43:11,CLSD,B,3.9497,4400,CPGO,,100467,Margin,Q210615023034,
12:43:11,CLSD,B,3.9497,100,CPGO,,100467,Margin,Q210615023034,
12:43:11,CLSD,B,3.9497,200,CPGO,,100467,Margin,Q210615023034,
12:43:11,CLSD,B,3.9497,200,CPGO,,100467,Margin,Q210615023034,
12:43:11,CLSD,B,3.9497,200,CPGO,,100467,Margin,Q210615023034,
12:43:11,CLSD,B,3.9397,200,CPGO,,100467,Margin,Q210615023034,
12:43:11,CLSD,B,3.9397,200,CPGO,,100467,Margin,Q210615023034,
12:43:11,CLSD,B,3.9397,200,CPGO,,100467,Margin,Q210615023034,
12:43:11,CLSD,B,3.9397,200,CPGO,,100467,Margin,Q210615023034,
12:43:11,CLSD,B,3.94,100,CPGO,,100467,Margin,Q210615023034,
10:20:25,TRCH,SS,5.0203,400,CPGO,,100467,Short,Q210615011822,
10:20:25,TRCH,SS,5.0203,400,CPGO,,100467,Short,Q210615011822,
10:20:25,TRCH,SS,5.02,100,CPGO,,100467,Short,Q210615011822,
11:19:14,CLSD,SS,4.0003,1000,CPGO,,100467,Short,Q210615017939,
10:35:22,CLSD,SS,4.1903,1000,CPGO,,100467,Short,Q210615013948,
13:01:18,NOVN,SS,15.13,30,CPGO,,100467,Short,Q210615024350,
13:01:18,NOVN,SS,15.13,40,CPGO,,100467,Short,Q210615024350,
13:01:18,NOVN,SS,15.13,40,CPGO,,100467,Short,Q210615024350,
13:01:18,NOVN,SS,15.13,40,CPGO,,100467,Short,Q210615024350,
13:01:18,NOVN,SS,15.13,80,CPGO,,100467,Short,Q210615024350,
13:01:18,NOVN,SS,15.13,40,CPGO,,100467,Short,Q210615024350,
13:01:18,NOVN,SS,15.13,80,CPGO,,100467,Short,Q210615024350,
13:01:18,NOVN,SS,15.13,40,CPGO,,100467,Short,Q210615024350,
13:01:18,NOVN,SS,15.13,80,CPGO,,100467,Short,Q210615024350,
13:01:18,NOVN,SS,15.13,40,CPGO,,100467,Short,Q210615024350,
11:35:49,CLSD,SS,3.9603,4400,CPGO,,100467,Short,Q210615018904,
13:01:18,NOVN,SS,15.13,40,CPGO,,100467,Short,Q210615024350,
11:35:49,CLSD,SS,3.9603,100,CPGO,,100467,Short,Q210615018904,
13:01:18,NOVN,SS,15.13,40,CPGO,,100467,Short,Q210615024350,
11:35:49,CLSD,SS,3.9603,100,CPGO,,100467,Short,Q210615018904,
13:01:18,NOVN,SS,15.13,40,CPGO,,100467,Short,Q210615024350,
11:35:49,CLSD,SS,3.9703,100,CPGO,,100467,Short,Q210615018904,
13:01:18,NOVN,SS,15.13,120,CPGO,,100467,Short,Q210615024350,
11:35:49,CLSD,SS,3.9703,100,CPGO,,100467,Short,Q210615018904,
13:01:18,NOVN,SS,15.13,160,CPGO,,100467,Short,Q210615024350,
11:35:49,CLSD,SS,3.9703,200,CPGO,,100467,Short,Q210615018904,
13:01:18,NOVN,SS,15.13,40,CPGO,,100467,Short,Q210615024350,
13:01:18,NOVN,SS,15.14,50,CPGO,,100467,Short,Q210615024350,
11:35:32,CLSD,B,3.9997,4900,CPGO,,100467,Margin,Q210615018888,
09:52:34,ENOB,B,6.36,100,CPGO,,100467,Margin,Q210615007633,
11:35:32,CLSD,B,4,100,CPGO,,100467,Margin,Q210615018888,
12:53:26,CLSD,SS,4.0703,100,CPGO,,100467,Short,Q210615023690,
12:53:26,CLSD,SS,4.0703,1000,CPGO,,100467,Short,Q210615023690,
12:53:26,CLSD,SS,4.0703,1300,CPGO,,100467,Short,Q210615023690,
12:53:26,CLSD,SS,4.0703,1000,CPGO,,100467,Short,Q210615023690,
12:53:26,CLSD,SS,4.0703,200,CPGO,,100467,Short,Q210615023690,
12:53:26,CLSD,SS,4.0703,100,CPGO,,100467,Short,Q210615023690,
12:53:26,CLSD,SS,4.0703,100,CPGO,,100467,Short,Q210615023690,
12:53:26,CLSD,SS,4.0703,100,CPGO,,100467,Short,Q210615023690,
12:53:26,CLSD,SS,4.0703,200,CPGO,,100467,Short,Q210615023690,
12:53:26,CLSD,SS,4.0703,100,CPGO,,100467,Short,Q210615023690,
12:53:26,CLSD,SS,4.0703,100,CPGO,,100467,Short,Q210615023690,
12:53:26,CLSD,SS,4.0703,200,CPGO,,100467,Short,Q210615023690,
12:53:26,CLSD,SS,4.0703,100,CPGO,,100467,Short,Q210615023690,
12:53:26,CLSD,SS,4.0703,100,CPGO,,100467,Short,Q210615023690,
12:53:25,CLSD,SS,4.0703,100,CPGO,,100467,Short,Q210615023690,
12:53:25,CLSD,SS,4.0703,100,CPGO,,100467,Short,Q210615023690,
12:53:25,CLSD,SS,4.07,100,CPGO,,100467,Short,Q210615023690,
11:18:21,TRCH,B,5.1197,4000,CPGO,,100467,Margin,Q210615017888,
11:04:25,CLSD,B,4.0497,1000,CPGO,,100467,Margin,Q210615016915,
10:34:48,TRCH,B,5.0297,481,CPGO,,100467,Margin,Q210615013884,
10:34:48,TRCH,B,5.0297,19,CPGO,,100467,Margin,Q210615013884,
10:34:48,TRCH,B,5.0297,300,CPGO,,100467,Margin,Q210615013884,
10:34:48,TRCH,B,5.0297,100,CPGO,,100467,Margin,Q210615013884,
10:34:48,TRCH,B,5.0297,100,CPGO,,100467,Margin,Q210615013884,
12:52:52,CLSD,S,4.0703,3200,CPGO,,100467,Margin,Q210615023658,
12:52:52,CLSD,S,4.0703,1800,CPGO,,100467,Margin,Q210615023658,
09:46:49,TRCH,SS,4.6403,100,CPGO,,100467,Short,Q210615006151,
10:19:22,CLSD,SS,4.0503,1000,CPGO,,100467,Short,Q210615011707,
09:51:39,ENOB,SS,6.3203,100,CPGO,,100467,Short,Q210615007415,
10:34:32,ENOB,S,6.02,366,CPGO,,100467,Margin,Q210615013848,
10:34:32,ENOB,S,6.02,1000,CPGO,,100467,Margin,Q210615013848,
10:34:32,ENOB,S,6.02,300,CPGO,,100467,Margin,Q210615013848,
10:34:32,ENOB,S,6.02,334,CPGO,,100467,Margin,Q210615013848,
11:56:53,TRCH,S,5.2703,1000,CPGO,,100467,Margin,Q210615020225,
10:34:16,TRCH,SS,4.9603,194,CPGO,,100467,Short,Q210615013820,
10:34:16,TRCH,SS,4.9603,300,CPGO,,100467,Short,Q210615013820,
10:34:16,TRCH,SS,4.96,100,CPGO,,100467,Short,Q210615013820,
